held_out_family,primary_ratio,n_train_pos,n_test_pos,n_test_neg,median_size,scale_pos_weight,feature_selection_protocol,nested_feature_selection,cross_split_source_leakage_count,test_auroc,test_auprc,f1,precision,recall,brier
AraCyc_AminoAcid,1:3,516,22,66,18.0,3.0,fixed_primary_training_selected,False,0,0.8870523415977961,0.7485534813866972,0.6666666666666666,0.5263157894736842,0.9090909090909091,0.1486235111951828
AraCyc_Lipid,1:3,515,23,69,12.0,3.0,fixed_primary_training_selected,False,0,0.8827977315689981,0.7665534502620843,0.6666666666666666,0.6071428571428571,0.7391304347826086,0.12335366755723953
AraCyc_Carbohydrate,1:3,523,15,45,27.0,3.0,fixed_primary_training_selected,False,0,0.8770370370370371,0.6084631447930681,0.7027027027027027,0.5909090909090909,0.8666666666666667,0.13157819211483002
KEGG_Lipid,1:3,511,27,81,30.0,3.0,fixed_primary_training_selected,False,0,0.8687700045724737,0.6467776591281438,0.6885245901639344,0.6176470588235294,0.7777777777777778,0.13441336154937744
KEGG_Metabolism,1:3,529,9,27,71.0,3.0,fixed_primary_training_selected,False,0,0.8641975308641975,0.5527295235628569,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.14617104828357697
AraCyc_Misc,1:3,252,286,858,11.0,3.0,fixed_primary_training_selected,False,0,0.8598505224379349,0.5917391979835387,0.6170542635658914,0.5543175487465181,0.6958041958041958,0.14194893836975098
AraCyc_Secondary,1:3,534,4,12,25.0,3.0,fixed_primary_training_selected,False,0,0.8541666666666666,0.8409090909090909,0.6,0.5,0.75,0.14615897834300995
KEGG_SignalTrans,1:3,513,25,75,55.0,3.0,fixed_primary_training_selected,False,0,0.8485333333333334,0.5485218628452917,0.52,0.52,0.52,0.1464410424232483
AraCyc_Cofactor,1:3,525,13,39,10.0,3.0,fixed_primary_training_selected,False,0,0.8422090729783038,0.6496040234275529,0.5333333333333333,0.47058823529411764,0.6153846153846154,0.15345874428749084
AraCyc_Nucleotide,1:3,518,20,60,18.0,3.0,fixed_primary_training_selected,False,0,0.8308333333333333,0.62370817295065,0.5789473684210527,0.6111111111111112,0.55,0.14343050122261047
KEGG_GeneticInfo,1:3,517,21,63,61.0,3.0,fixed_primary_training_selected,False,0,0.8284202569916855,0.5333614198095012,0.6206896551724138,0.4864864864864865,0.8571428571428571,0.1696765273809433
KEGG_Cellular,1:3,467,71,213,41.0,3.0,fixed_primary_training_selected,False,0,0.8263572042584143,0.5203388389821878,0.5595238095238095,0.4845360824742268,0.6619718309859155,0.15981034934520721
