configuration,primary_ratio,d,feature_selection_protocol,scale_pos_weight,test_auroc,test_auprc,f1,precision,recall,brier,delta_auroc_vs_full
full,1:3,69,primary_train_fixed60,3.0,0.8614540466392318,0.6472168310080403,0.6230769230769231,0.5328947368421053,0.75,0.15018028020858765,0.0
go_only,1:3,60,primary_train_fixed60,3.0,0.7966963877457705,0.49167447881012627,0.5551601423487544,0.4508670520231214,0.7222222222222222,0.18286289274692535,-0.0647576588934613
jaccard_only,1:3,4,primary_train_fixed60,3.0,0.777749199817101,0.504401269334471,0.5303030303030303,0.44871794871794873,0.6481481481481481,0.18047896027565002,-0.08370484682213075
size_only,1:3,5,primary_train_fixed60,3.0,0.77086191129401,0.4732183771152446,0.5342960288808665,0.4378698224852071,0.6851851851851852,0.19496673345565796,-0.0905921353452217
minus_go,1:3,9,primary_train_fixed60,3.0,0.8465935070873343,0.6260106805473437,0.5945945945945946,0.5099337748344371,0.7129629629629629,0.15141315758228302,-0.014860539551897478
minus_jaccard,1:3,65,primary_train_fixed60,3.0,0.8196730681298583,0.5444527533922695,0.5576208178438662,0.4658385093167702,0.6944444444444444,0.1768740713596344,-0.041780978509373456
minus_size,1:3,64,primary_train_fixed60,3.0,0.8497942386831275,0.5994911243800867,0.6463878326996197,0.5483870967741935,0.7870370370370371,0.15166248381137848,-0.011659807956104218
