repeat_index,fold_index,repeat_seed,ratio,n_train_positive,n_validation_positive,n_train_total,n_validation_total,train_negative_seed,validation_negative_seed,scale_pos_weight,cross_split_source_leakage_count,outer_test_source_count,train_records_sha256,validation_records_sha256
0,0,42,1:3,344,86,1376,344,130000,130001,3.0,0,0,b4a03a7a9490e2519e25c84b85feb4f40db007cd3dc0f87ef6654a5918d8466b,92bd033a86616141949f19eaecf48bdc4eb8063dd458671d1bbb5b6858a26761
0,1,42,1:3,344,86,1376,344,130002,130003,3.0,0,0,03e45168f293858e7620d0280e66fcfe62587e0dfdedcbee508f381a684e94d7,136e248a22efb8f791acd980ff491234d51c080555c289819f1bbbeaafe51552
0,2,42,1:3,344,86,1376,344,130004,130005,3.0,0,0,18c5b68e085b7795405acdfa1860dda963f263a9bfc0bc4742a7b0719beeca96,fbdc7452b2aab38108ea847b04b6a33b5bb37f14b4d8b5ba9225141ec87c6470
0,3,42,1:3,344,86,1376,344,130006,130007,3.0,0,0,03772f4e31f314fd067d152fad73f69ded8c6461eac2c3318a4c265e32a3d5e9,2dda54aae767184c4ac028ddd477c87f8b4db5030783f975149757f864453345
0,4,42,1:3,344,86,1376,344,130008,130009,3.0,0,0,69e22c7d82ac9161017f25b736b7110e81925cf1aa68ae848cf3e0d903de8711,c389072420f84b00fe7f1950a8b8f9903612ea18e3a949a43e2ca690b0f51492
1,0,7,1:3,344,86,1376,344,130100,130101,3.0,0,0,2de8013cc27a492e5baa3672a67bfdb84934e456d1ee64284480a373b66d424e,bd2e02db7aa7168ff8d6806d8d7f26eeeb215aa44da537302f91e00a19110f9a
1,1,7,1:3,344,86,1376,344,130102,130103,3.0,0,0,893cfe8cde72829453ae448e23a1ec6674f634d8a95ee8c1da8976b4c38770a4,27a5556cdb48b62167e9623237f4d87ada56775487ddeeec51d675e9683e12f4
1,2,7,1:3,344,86,1376,344,130104,130105,3.0,0,0,2d24dff2d9758538ae5996fdb59897586d4ee3221aaf8de21ea86961fa67e430,35905d192114fdafac26a707805ced9fcadcb6eeef39a5fe2412631b7888fae1
1,3,7,1:3,344,86,1376,344,130106,130107,3.0,0,0,2c0f944c1da80cbf6eeffa69fdf2cd27aa61a08e6f33d0c11bb06706b528fa52,2713ceb6c3e83bd8a8a4a2dd4d3846562262c6a9ef6be94a1c28a6ce1c9f2030
1,4,7,1:3,344,86,1376,344,130108,130109,3.0,0,0,4817bdc442542de588e63d987c105639cfc7aca01079073ebeff5570639db413,80ea499031e88bcfa31311b20f89bb6dc173dbef81634f7a54a3dec4724866b2
2,0,13,1:3,344,86,1376,344,130200,130201,3.0,0,0,edaf527c6d98e9c8151811942d77bb3afb11a165037cd3d58a8a27ac66007127,403daeca327a8aa9a34696a9e2e4721e4def7bce0d895b19f92bb1d5645e57e0
2,1,13,1:3,344,86,1376,344,130202,130203,3.0,0,0,9cbae46d119e2dc1299611506748705ec82ab4a10540aef29add6c6d971e9d64,c5dd92bd0f9163e5df9ad81c72d88d348911b5c77a6f1d75aa23b278382f2d24
2,2,13,1:3,344,86,1376,344,130204,130205,3.0,0,0,06f8b340f2253eacb7656e49c11d5aec28581ea034bb1e631da2a7ef509a3b58,d086a45946b9d75cc06afc7e8e735b3571d085744c71af4d85cbc4183f3b2f71
2,3,13,1:3,344,86,1376,344,130206,130207,3.0,0,0,1b4e24e50bdcc9a79e56fb2bbb8a4d3006a4a6d7879b661dba2d7d8e8bbfddc6,b5fa9edc2176bae479d0495b5eaf9558bffd9e9a8f81df15ce5940d289cdfa8f
2,4,13,1:3,344,86,1376,344,130208,130209,3.0,0,0,1b0f6132f373f84d06c4fdc609d81f89b9afcce34a3609d7fc10ad31570881cf,ea952917fa6f8f2e29bdfdd5e8ee09625b4fe1b6d7db558496484f069053285a
