split,primary_ratio,n_positive,n_negative,n_total,n_kegg_positive,n_aracyc_positive,n_random_5_30,n_shuffled,n_partial_50_80,n_cross_pathway,cross_same_family_count,cross_same_family_fraction,cross_split_source_leakage_count,records_sha256,selected_go_sha256,primary_split_sha256
train,1:3,430,1290,1720,124,306,323,323,322,322,103,0.3198757763975155,0,d35f0e23d23e2737f81657dd2679a24f3fc7cee26abca4944f161c2baada2b0b,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a
test,1:3,108,324,432,31,77,81,81,81,81,29,0.35802469135802467,0,f67c50ae99936e2fa58ae82d8f4e11bbc1d846c5999f29753d1f7c2416b36985,b52c2a81f1aaba0653da6c1e1c4a26cbddd487727c6adc44bb5d679e9eb9b0d6,0a83f9e7c8cf88c8820652a6927da0150b39c6b87304c1fe76bf88779674908a
