rank,feature,importance,method,primary_ratio
1,jaccard_mean,0.9783148169517517,shap_mean_abs,1:3
2,go_entropy,0.7100897431373596,shap_mean_abs,1:3
3,pathway_size,0.6990416646003723,shap_mean_abs,1:3
4,GO:0009507,0.2599984109401703,shap_mean_abs,1:3
5,mean_go_per_gene,0.23510035872459412,shap_mean_abs,1:3
6,jaccard_std,0.23386909067630768,shap_mean_abs,1:3
7,GO:0005829,0.20732437074184418,shap_mean_abs,1:3
8,GO:0008150,0.19550403952598572,shap_mean_abs,1:3
9,GO:0009793,0.1681830734014511,shap_mean_abs,1:3
10,go_size_std,0.15080112218856812,shap_mean_abs,1:3
11,log_size,0.14938023686408997,shap_mean_abs,1:3
12,jaccard_max,0.1418205350637436,shap_mean_abs,1:3
13,GO:0004672,0.1312437355518341,shap_mean_abs,1:3
14,GO:0003700,0.12226345390081406,shap_mean_abs,1:3
15,GO:0005737,0.12019100040197372,shap_mean_abs,1:3
16,GO:0005515,0.11295519769191742,shap_mean_abs,1:3
17,GO:0006412,0.1043752133846283,shap_mean_abs,1:3
18,GO:0005739,0.10131257027387619,shap_mean_abs,1:3
19,GO:0009536,0.08920615166425705,shap_mean_abs,1:3
20,GO:0005575,0.07506757974624634,shap_mean_abs,1:3
21,GO:0009570,0.07297565788030624,shap_mean_abs,1:3
22,GO:0000325,0.07249218970537186,shap_mean_abs,1:3
23,GO:0004674,0.06172199919819832,shap_mean_abs,1:3
24,GO:0005768,0.03487711772322655,shap_mean_abs,1:3
25,GO:0006355,0.03477489575743675,shap_mean_abs,1:3
26,GO:0005777,0.034200090914964676,shap_mean_abs,1:3
27,GO:0003677,0.03396229073405266,shap_mean_abs,1:3
28,jaccard_min,0.03224726393818855,shap_mean_abs,1:3
29,GO:0009749,0.030777068808674812,shap_mean_abs,1:3
30,GO:0010075,0.021681953221559525,shap_mean_abs,1:3
