ratio,feature_selection_primary_ratio,n_pos,n_neg,scale_pos_weight,cv_auroc_mean,cv_auroc_sd,test_auroc,test_auprc,f1,precision,recall,brier
1:1,1:3,538,538,1.0,0.860780602127276,0.019452553308481,0.8329903978052127,0.8003090538557729,0.8034188034188035,0.746031746031746,0.8703703703703703,0.16222751140594482
1:2,1:3,538,1076,2.0,0.8734473589327564,0.014946668298112326,0.8628686556927296,0.718108624337405,0.6827309236947792,0.6028368794326241,0.7870370370370371,0.1547352373600006
1:3,1:3,538,1614,3.0,0.8762964966047713,0.016109569412765225,0.8614540466392318,0.6472168310080403,0.6230769230769231,0.5328947368421053,0.75,0.15018028020858765
1:4,1:3,538,2152,4.0,0.8775779700739137,0.011004386755439523,0.8664694787379973,0.5968039286329236,0.5928571428571429,0.48255813953488375,0.7685185185185185,0.1384207308292389
1:5,1:3,538,2690,5.0,0.8783089958536145,0.009356408174947775,0.8762517146776406,0.5497040974312989,0.5539568345323741,0.45294117647058824,0.7129629629629629,0.12300936132669449
