ratio,feature_selection_primary_ratio,n_pos,n_neg,scale_pos_weight,cv_auroc_mean,cv_auroc_sd,test_auroc,test_auprc,f1,precision,recall,brier,negative_ratio,random_auprc_baseline,auprc_minus_baseline,normalized_auprc
1:1,1:3,538,538,1.0,0.860780602127276,0.019452553308481,0.8329903978052127,0.8003090538557729,0.8034188034188035,0.746031746031746,0.8703703703703703,0.1622275114059448,1,0.5,0.3003090538557729,0.6006181077115458
1:2,1:3,538,1076,2.0,0.8734473589327564,0.0149466682981123,0.8628686556927296,0.718108624337405,0.6827309236947792,0.6028368794326241,0.7870370370370371,0.1547352373600006,2,0.3333333333333333,0.38477529100407165,0.5771629365061074
1:3,1:3,538,1614,3.0,0.8762964966047713,0.0161095694127652,0.8614540466392318,0.6472168310080403,0.6230769230769231,0.5328947368421053,0.75,0.1501802802085876,3,0.25,0.3972168310080403,0.5296224413440537
1:4,1:3,538,2152,4.0,0.8775779700739137,0.0110043867554395,0.8664694787379973,0.5968039286329236,0.5928571428571429,0.4825581395348837,0.7685185185185185,0.1384207308292389,4,0.2,0.39680392863292363,0.4960049107911545
1:5,1:3,538,2690,5.0,0.8783089958536145,0.0093564081749477,0.8762517146776406,0.5497040974312989,0.5539568345323741,0.4529411764705882,0.7129629629629629,0.1230093613266944,5,0.16666666666666666,0.38303743076463226,0.4596449169175587
