ratio,cv_auroc,test_auroc,raw_auprc,normalized_auprc,f1,precision,recall,model_mean_auroc,model_best_auroc,model_best_name,lofo_mean_auroc,lofo_min_auroc,size_only_auroc
1:1,0.8626104200468722,0.8419067215363512,0.8071899030934726,0.6143798061869452,0.8017241379310345,0.75,0.8611111111111112,0.8040123456790123,0.8575102880658436,Random Forest,0.8574716760993931,0.8040071414401904,0.7680041152263375
1:2,0.8714147286821704,0.8540380658436213,0.68241980213254,0.5236297031988101,0.711864406779661,0.65625,0.7777777777777778,0.8176605202068165,0.8553240740740742,CatBoost,0.8727497696044155,0.8105534616147589,0.7732767489711935
1:3,0.8762964966047713,0.8614540466392318,0.6472168310080403,0.5296224413440537,0.6230769230769231,0.5328947368421053,0.75,0.8218329024656185,0.8625971650663009,CatBoost,0.855852086303348,0.8263572042584143,0.77086191129401
1:4,0.8788016044708852,0.8664909122085048,0.5958729223742293,0.4948411529677866,0.5801526717557252,0.4935064935064935,0.7037037037037037,0.830448882821568,0.8664909122085048,XGBoost,0.8649589578265385,0.8123582766439909,0.7935956790123457
1:5,0.8769226608977825,0.873542524005487,0.5366067277357227,0.44392807328286726,0.5535055350553506,0.4601226993865031,0.6944444444444444,0.8346120871583833,0.8789094650205761,Gradient Boosting,0.8603553958573452,0.8171394564570522,0.8055384087791496
