split,primary_ratio,n_positive,n_negative,n_total,n_kegg_positive,n_aracyc_positive,n_random_5_30,n_shuffled,n_partial_50_80,n_cross_pathway,cross_same_family_count,cross_same_family_fraction,cross_split_source_leakage_count,records_sha256,selected_go_sha256,primary_split_sha256
train,1:1,409,409,818,124,285,103,102,102,102,34,0.3333333333333333,0,2973d52e5298cd58efe7fea87221f317957680f5cd06ee5e6693ab4b7e8b599d,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390
test,1:1,103,103,206,31,72,26,26,26,25,7,0.28,0,b5bdb467905b56f2d584d11dc3b4fdb839984d537ca59c0f395553ca0c588b37,d832338fd932d1c78547f031acb30cc4ab7ff678230ccb5e3420815818fc2437,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390
