split,primary_ratio,n_positive,n_negative,n_total,n_kegg_positive,n_aracyc_positive,n_random_5_30,n_shuffled,n_partial_50_80,n_cross_pathway,cross_same_family_count,cross_same_family_fraction,cross_split_source_leakage_count,records_sha256,selected_go_sha256,primary_split_sha256
train,1:1,430,430,860,124,306,108,108,107,107,35,0.32710280373831774,0,f24facbed14ccc7b3baa3e1cf31cb0e33f711f0aee605c7beeb5995416a64c1b,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec
test,1:1,108,108,216,31,77,27,27,27,27,7,0.25925925925925924,0,768bf8e31d0a60f93f6b48c3e5343e416dd3689aa300143bb85ec1bd6c254882,f7dd8c2329ba60ec04c4de2daf0fecdf2557679a871b4f3b1f6190fdeb8ee7ea,1ffc6b697966db0ba62d38c3af4b33acc0f026ec83ac170c8339f925083676ec
