repeat_index,fold_index,repeat_seed,ratio,n_train_positive,n_validation_positive,n_train_total,n_validation_total,train_negative_seed,validation_negative_seed,scale_pos_weight,cross_split_source_leakage_count,outer_test_source_count,train_records_sha256,validation_records_sha256
0,0,42,1:1,344,86,688,172,110000,110001,1.0,0,0,87d64bb280493290060c9ac0b522d8e01f2c598f66874f16204341fbf11ebf54,9c75cdb517252074c275ee6fa8eb2cd83d647d1ad9acbd7d1f3b9e2bfefcc5cb
0,1,42,1:1,344,86,688,172,110002,110003,1.0,0,0,31ab8fd409fe499b6a7f53d34edecdb688a4914b037b7864a9dd79e9e7804c6f,da2bc29531417bd5ff182835f733c4d097574e36b5423c85a8c82032ee44c809
0,2,42,1:1,344,86,688,172,110004,110005,1.0,0,0,6141c96f6c5bab4ae3eb5ab601a482e867e7fa540e8eb258760ba3fe9f91f4ba,e0ab05bf6d4d6649ac6ee7beada2aff851d749046b44458c2c68cd9df180e676
0,3,42,1:1,344,86,688,172,110006,110007,1.0,0,0,11ee19f8a878d3da1b9fc40ebad1ed057b65c198d0d8237827833b6d4362dc66,bfb71768c9dfa855c13c774a3f11d9474597119a7ed42b4589d2bf8bd35bed9b
0,4,42,1:1,344,86,688,172,110008,110009,1.0,0,0,641ed5c8a968d523fb7d030c985e6fe991be5bf5c3bff5c2e988763e8c8c2228,9d31a0b51f4c42b078c2ab2ee3a6577472bf094cd06ef0da8d1190590aa9d8de
1,0,7,1:1,344,86,688,172,110100,110101,1.0,0,0,14d2f8e6884fb47c24691969e4dd86dddc2d78684b4a99f62063fb4e8f0e80b0,1c1a71b56e4ed5660ca68aafc792d0a6a4f15050672c79593ab2d4780b33c904
1,1,7,1:1,344,86,688,172,110102,110103,1.0,0,0,bb5b928cfdcd24b420690e9425d00d586321741072f4582720c42a56d2c6c2bb,b51acea7f4199b202dca5276f0ec0277cf5d5edb5993f607960dcd1d3bd12d3b
1,2,7,1:1,344,86,688,172,110104,110105,1.0,0,0,40b34f0b492757005725ded684bf443e9433c114f254b6bcb1439200a6fd161f,76b5c7d8ca96d20dfe4fa5c915f630ed036835b1adeaaa181b87008769c068c8
1,3,7,1:1,344,86,688,172,110106,110107,1.0,0,0,899ce47796f7a9ac0b3bcae2963f234a22bdb624fdf17d1b0acb75ed54b4e352,38cf7a78b452f1d650c8a75d605252214cd08945d6878334fbdba4f509497928
1,4,7,1:1,344,86,688,172,110108,110109,1.0,0,0,c27dcace980288730d006435996ee20c623775d5377536dd763d73d27a93b864,ddac64deaf241af1c02199639465708fe181f4cb635d2221475f39b842eb10a5
2,0,13,1:1,344,86,688,172,110200,110201,1.0,0,0,81f0f8346e00365a7d5bbe1e189a4fd7b1a7cd5991154584e40f8538da032e01,588bd343ec395cc3b7a67e9e800856cf633a7f753dbcad59a1a4c69d33f7a2f8
2,1,13,1:1,344,86,688,172,110202,110203,1.0,0,0,4a76903d3b39f762f984d9c3fdbc5dfee8978707e6419913f892de6ac7b5e7a5,3119ecd1aeec87b7ec91248a265b614ba4415fa26d433a6375d6fe054f8370d6
2,2,13,1:1,344,86,688,172,110204,110205,1.0,0,0,17d55c419f9d70be3c4837865962261ce71bce620453d43c93f70bfd7917705d,54035ceed7fc92f85014900f7a901ba058650cbb6b802b82b6a60d8924df6340
2,3,13,1:1,344,86,688,172,110206,110207,1.0,0,0,7a81c693234b0a72e2e2831fe3ebc43ab35f9bce1129de7b23b6d3d7e6585dff,c924536b915c0696a10f274ec9090e559f9162f5bb7e6a5a714ff78ce6b75ef9
2,4,13,1:1,344,86,688,172,110208,110209,1.0,0,0,2a9e4f4230c45663dd8b7d354dda1aa6f9d5b4ae8c4928baa6ac39f7481475e3,028afbcc868a94cce2f854f4cd2c2d813a61e8fac213d070a1f0e2b1a77a8cce
