configuration,primary_ratio,d,feature_selection_protocol,scale_pos_weight,test_auroc,test_auprc,f1,precision,recall,brier,delta_auroc_vs_full
full,1:1,69,primary_train_fixed60,1.0,0.8419067215363512,0.8071899030934726,0.8017241379310345,0.75,0.8611111111111112,0.15585625171661377,0.0
go_only,1:1,60,primary_train_fixed60,1.0,0.7758916323731139,0.7166464361886882,0.7264957264957265,0.6746031746031746,0.7870370370370371,0.18767964839935303,-0.06601508916323728
jaccard_only,1:1,4,primary_train_fixed60,1.0,0.7631172839506173,0.7203976754689194,0.684931506849315,0.6756756756756757,0.6944444444444444,0.20706042647361755,-0.07878943758573387
size_only,1:1,5,primary_train_fixed60,1.0,0.7680041152263375,0.676018654122172,0.7280701754385965,0.6916666666666667,0.7685185185185185,0.19102442264556885,-0.07390260631001366
minus_go,1:1,9,primary_train_fixed60,1.0,0.823559670781893,0.7725890033121011,0.7796610169491526,0.71875,0.8518518518518519,0.17061199247837067,-0.018347050754458194
minus_jaccard,1:1,65,primary_train_fixed60,1.0,0.7992112482853223,0.7554182739321644,0.7679324894514767,0.7054263565891473,0.8425925925925926,0.17666968703269958,-0.04269547325102885
minus_size,1:1,64,primary_train_fixed60,1.0,0.8343621399176955,0.7836083513142535,0.8034934497816594,0.7603305785123967,0.8518518518518519,0.16436517238616943,-0.007544581618655677
