ratio,primary_ratio,n_train_pos,n_train_neg,n_test_pos,n_test_neg,cv_auroc_mean,cv_auroc_sd,test_auroc,raw_auprc,random_auprc_baseline,auprc_minus_baseline,normalized_auprc,f1,precision,recall,brier,train_positive_ids_sha256,test_positive_ids_sha256,main_matches_own_sensitivity_row
1:1,1,430,430,108,108,0.8626104200468722,0.0186478797998182,0.8419067215363512,0.8071899030934726,0.5,0.3071899030934726,0.6143798061869452,0.8017241379310345,0.75,0.8611111111111112,0.1558562517166137,c804766cc0dd15fc6cd830803fe27b9d2b87d31f8d82c7f12ae0a9d071cbde77,d026829c1f24e4def4b958684eb6e5d01bf47ca590d582a1e8be3e127e7868f7,True
1:2,2,430,860,108,216,0.8714147286821704,0.0111593375900768,0.8540380658436213,0.68241980213254,0.3333333333333333,0.34908646879920674,0.5236297031988101,0.711864406779661,0.65625,0.7777777777777778,0.1559695750474929,c804766cc0dd15fc6cd830803fe27b9d2b87d31f8d82c7f12ae0a9d071cbde77,d026829c1f24e4def4b958684eb6e5d01bf47ca590d582a1e8be3e127e7868f7,True
1:3,3,430,1290,108,324,0.8762964966047713,0.0161095694127652,0.8614540466392318,0.6472168310080403,0.25,0.3972168310080403,0.5296224413440537,0.6230769230769231,0.5328947368421053,0.75,0.1501802802085876,c804766cc0dd15fc6cd830803fe27b9d2b87d31f8d82c7f12ae0a9d071cbde77,d026829c1f24e4def4b958684eb6e5d01bf47ca590d582a1e8be3e127e7868f7,True
1:4,4,430,1720,108,432,0.8788016044708852,0.0098736481387158,0.8664909122085048,0.5958729223742293,0.2,0.3958729223742293,0.4948411529677866,0.5801526717557252,0.4935064935064935,0.7037037037037037,0.1375099271535873,c804766cc0dd15fc6cd830803fe27b9d2b87d31f8d82c7f12ae0a9d071cbde77,d026829c1f24e4def4b958684eb6e5d01bf47ca590d582a1e8be3e127e7868f7,True
1:5,5,430,2150,108,540,0.8769226608977825,0.0072786662914733,0.873542524005487,0.5366067277357227,0.16666666666666666,0.3699400610690561,0.44392807328286726,0.5535055350553506,0.4601226993865031,0.6944444444444444,0.1242674142122268,c804766cc0dd15fc6cd830803fe27b9d2b87d31f8d82c7f12ae0a9d071cbde77,d026829c1f24e4def4b958684eb6e5d01bf47ca590d582a1e8be3e127e7868f7,True
