analysis,n_positive_train,n_negative_train,scale_pos_weight,rule,ratio,repeat_index,fold_index,held_out_family
negative_ratio_sensitivity_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,2.0,
negative_ratio_sensitivity_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,3.0,
negative_ratio_sensitivity_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,4.0,
negative_ratio_sensitivity_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,0.0,
negative_ratio_sensitivity_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,1.0,
negative_ratio_sensitivity_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,2.0,
negative_ratio_sensitivity_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,3.0,
negative_ratio_sensitivity_cv,344,1032,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,4.0,
negative_ratio_sensitivity,430,1720,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,,,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,0.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,1.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,2.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,3.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,4.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,0.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,1.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,2.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,3.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,4.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,0.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,1.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,2.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,3.0,
negative_ratio_sensitivity_cv,344,1376,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,4.0,
negative_ratio_sensitivity,430,2150,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,,,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,0.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,1.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,2.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,3.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,4.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,0.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,1.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,2.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,3.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,4.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,0.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,1.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,2.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,3.0,
negative_ratio_sensitivity_cv,344,1720,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,4.0,
supplementary_model_comparison,430,430,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,,,
feature_ablation,430,430,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,,,
lofo,516,516,1.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_AminoAcid
lofo,523,523,1.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Carbohydrate
lofo,525,525,1.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Cofactor
lofo,515,515,1.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Lipid
lofo,252,252,1.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Misc
lofo,518,518,1.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Nucleotide
lofo,534,534,1.0,dynamic_n_negative_train_over_n_positive_train,,,,AraCyc_Secondary
lofo,467,467,1.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_Cellular
lofo,517,517,1.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_GeneticInfo
lofo,511,511,1.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_Lipid
lofo,529,529,1.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_Metabolism
lofo,513,513,1.0,dynamic_n_negative_train_over_n_positive_train,,,,KEGG_SignalTrans
