configuration,primary_ratio,d,feature_selection_protocol,scale_pos_weight,test_auroc,test_auprc,f1,precision,recall,brier,delta_auroc_vs_full
full,1:5,69,primary_train_fixed60,5.0,0.873542524005487,0.5366067277357227,0.5535055350553506,0.4601226993865031,0.6944444444444444,0.12426741421222687,0.0
go_only,1:5,60,primary_train_fixed60,5.0,0.8072873799725652,0.4326897532632721,0.45307443365695793,0.3482587064676617,0.6481481481481481,0.15065628290176392,-0.06625514403292188
jaccard_only,1:5,4,primary_train_fixed60,5.0,0.7611368312757201,0.37582756277495566,0.4,0.3125,0.5555555555555556,0.17489054799079895,-0.11240569272976697
size_only,1:5,5,primary_train_fixed60,5.0,0.8055384087791496,0.4015255937967901,0.42857142857142855,0.3387096774193548,0.5833333333333334,0.15338698029518127,-0.06800411522633742
minus_go,1:5,9,primary_train_fixed60,5.0,0.8535493827160494,0.48390903569747146,0.5142857142857142,0.4186046511627907,0.6666666666666666,0.13189518451690674,-0.019993141289437633
minus_jaccard,1:5,65,primary_train_fixed60,5.0,0.8410322359396433,0.4950666476139523,0.4876325088339223,0.3942857142857143,0.6388888888888888,0.1387389451265335,-0.03251028806584377
minus_size,1:5,64,primary_train_fixed60,5.0,0.8555384087791496,0.4951297400333473,0.5179856115107914,0.4235294117647059,0.6666666666666666,0.13111959397792816,-0.01800411522633749
