ratio,feature_selection_primary_ratio,n_pos,n_neg,scale_pos_weight,cv_auroc_mean,cv_auroc_sd,test_auroc,test_auprc,f1,precision,recall,brier,negative_ratio,random_auprc_baseline,auprc_minus_baseline,normalized_auprc
1:1,1:5,538,538,1.0,0.8561745087434649,0.0153360907307221,0.8407064471879286,0.8012687733057633,0.8068669527896996,0.752,0.8703703703703703,0.1592809557914734,1,0.5,0.3012687733057633,0.6025375466115266
1:2,1:5,538,1076,2.0,0.8688638002523885,0.013063059902318,0.8560099451303155,0.7030757441666939,0.7073170731707317,0.6304347826086957,0.8055555555555556,0.1539621651172638,2,0.3333333333333333,0.3697424108333606,0.5546136162500409
1:3,1:5,538,1614,3.0,0.8763025058590229,0.0171750499863418,0.8557384545038866,0.6174972854308797,0.6294820717131474,0.5524475524475524,0.7314814814814815,0.1520297080278396,3,0.25,0.36749728543087967,0.48999638057450623
1:4,1:5,538,2152,4.0,0.8760253290066701,0.0125857700663442,0.8632115912208504,0.5668977444619092,0.5767790262172284,0.4842767295597484,0.7129629629629629,0.1396395713090896,4,0.2,0.3668977444619092,0.45862218057738646
1:5,1:5,538,2690,5.0,0.8769226608977825,0.0072786662914733,0.873542524005487,0.5366067277357227,0.5535055350553506,0.4601226993865031,0.6944444444444444,0.1242674142122268,5,0.16666666666666666,0.3699400610690561,0.44392807328286726
