repeat_index,fold_index,repeat_seed,ratio,n_train_positive,n_validation_positive,n_train_total,n_validation_total,train_negative_seed,validation_negative_seed,scale_pos_weight,cross_split_source_leakage_count,outer_test_source_count,train_records_sha256,validation_records_sha256
0,0,42,1:5,344,86,2064,516,150000,150001,5.0,0,0,3fab490b0be400066f44008610414d0fa27adf6deabead7329aa4dfd59fad9b1,87c867b2e793ebfb927521bc4626fef206cddc1c57395dee55c500219a620bd7
0,1,42,1:5,344,86,2064,516,150002,150003,5.0,0,0,bf8ac6e42e8a82ac40779cf635309a0f28551f08b7fb3edf08aa0b445009d10b,b171174931b182a4f83d42c1536bba2fd91ddf36fa9377def0bad11ccd80ce87
0,2,42,1:5,344,86,2064,516,150004,150005,5.0,0,0,33cf36731a90f14118c0f804450dfe3cc9b178c04e2ab8f47338db556d0a5644,7875e30d48dccf39aa4d40e49ea5c9578fd08fbf87717b4373badbdfda1fab6f
0,3,42,1:5,344,86,2064,516,150006,150007,5.0,0,0,978344587b707da3bc4f77db27c4a385760b424e5d007f4be95230cd753880ee,a41c88547c81dab9c3abe06e065a9f5e09a2769cd503979949e374bf4a4c5e90
0,4,42,1:5,344,86,2064,516,150008,150009,5.0,0,0,be7fbc7b487637f008be1d002411ccd9d0f7e6f5f6c885f1a3d2e3c44ab54c2b,26fcd2620247193b71f62e0adea84c056aa3452af309a037b2e41b3b267bdeb4
1,0,7,1:5,344,86,2064,516,150100,150101,5.0,0,0,7c7d32a6fd91a271fe9f1e17798836e2004dfa2e086c44e83c3b2a3fc73ab23e,19d2c62eded4cf904d83fc4f32303333168d272cf0e7e9429f6b3900128246f5
1,1,7,1:5,344,86,2064,516,150102,150103,5.0,0,0,5b738b5a67e725b5785f15a876a88c71684f1cbe8b4901da7952018c121e6b2c,fd4a31500a479d1f26aac918398d47a952a3c1f3ade600f6a03bd475808c72f3
1,2,7,1:5,344,86,2064,516,150104,150105,5.0,0,0,6de8fc6fc384bf8a04c478d7fa0e1022690e3aeeb869d7864fe2eb4446c2ced1,02abc249292f6a523caae17c59593f0fd028a25cd40a5043ce755c4e221c184e
1,3,7,1:5,344,86,2064,516,150106,150107,5.0,0,0,087d5ee35ce174807818025a85626871d849f2ee90280912aa3aeb729953d3b0,6acb228b6e54fc9fd428cb29211cbd3ce155c38c7c56cf8a51b025d75fc4e14c
1,4,7,1:5,344,86,2064,516,150108,150109,5.0,0,0,b2069212c9db2b2e250e42d1d1ee47388b7a0dd6843409ad1c512d8c43286d71,06ec5c6ce25fb7100c45e25e44c0b0377a3932d4be3323229904d15c6e9c8916
2,0,13,1:5,344,86,2064,516,150200,150201,5.0,0,0,c6f5e65a1f8437a3cbd7da7d67b269cc6e733d1e9c23f7d6616e8a7a70c3eed7,a183b851018b4c4f3db6dbc9a9311126a8d940dc9e5425e30323d62d56cacf36
2,1,13,1:5,344,86,2064,516,150202,150203,5.0,0,0,9c7b55b879e0349eed74f0821c37570c9aa6e654583c1bc72447c4f426367cca,af37b6223f11c5a8d10d75760acaba606fc17f84f33564ebdad8198f632e9b9d
2,2,13,1:5,344,86,2064,516,150204,150205,5.0,0,0,ff589c4e703689d166421932c7a2f19f656d213854bb77240894d93dd78c0f53,e330d39f02ae1da07a7384ba18e08028868ae1b1152056177c0227c36086ab5a
2,3,13,1:5,344,86,2064,516,150206,150207,5.0,0,0,33ab7c6721d445be7249888b93c9100460c1e419fedce3a11e2893fad0ba482c,328adeb3ca7d0720155d2d8cda3bad382da2fc7318a3a5d1aea660b7e89d8f0d
2,4,13,1:5,344,86,2064,516,150208,150209,5.0,0,0,56e1c8cf630c6cf5bd95c85cb67aee23dc6a915ecff23b39d64f8a572adeac0e,77ceb2149c81c12a6bf1cdf2eff64c30956dd301a7276717baff31a8809b02c3
