split,primary_ratio,n_positive,n_negative,n_total,n_kegg_positive,n_aracyc_positive,n_random_5_30,n_shuffled,n_partial_50_80,n_cross_pathway,cross_same_family_count,cross_same_family_fraction,cross_split_source_leakage_count,records_sha256,selected_go_sha256,primary_split_sha256
train,1:5,430,2150,2580,124,306,538,538,537,537,164,0.3054003724394786,0,d0b7c7d2c2e9c8ad3fdd99c9e91ab73553f86945f517f3dedc84ae756fc54bf0,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55
test,1:5,108,540,648,31,77,135,135,135,135,50,0.37037037037037035,0,427fd5775c20b579a5e74a5a789534af0b0fc86157064d290cba341e0c44a473,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55
