model,primary_ratio,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,primary_split_sha256,status,cv_auroc_mean,cv_auroc_sd,train_size,test_size,scale_pos_weight,elapsed_s,test_auroc,test_auprc,f1,precision,recall,brier,rank_by_auroc
Gradient Boosting,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,2.5562918186187744,0.8789094650205761,0.5524617456154495,0.43575418994413406,0.5492957746478874,0.3611111111111111,0.10091996515041227,1
CatBoost,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.6939139366149902,0.8766460905349794,0.5584942677490619,0.5466237942122186,0.4187192118226601,0.7870370370370371,0.13468556854274852,2
XGBoost,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.8901848793029785,0.873542524005487,0.5366067277357227,0.5535055350553506,0.4601226993865031,0.6944444444444444,0.12426741421222687,3
LightGBM,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,1.5297679901123047,0.8713305898491084,0.5323567267048895,0.5376344086021505,0.43859649122807015,0.6944444444444444,0.12709733017613695,4
Random Forest,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.4449789524078369,0.8583847736625514,0.4696281504609661,0.5454545454545454,0.42,0.7777777777777778,0.13050009009382466,5
AdaBoost,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.6900651454925537,0.856687242798354,0.4730076508327976,0.35502958579881655,0.4918032786885246,0.2777777777777778,0.17674369148446042,6
Extra Trees,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.3200571537017822,0.8494513031550068,0.48590137252602783,0.4884318766066838,0.33807829181494664,0.8796296296296297,0.16292660705081224,7
MLP,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.09567999839782715,0.83360768175583,0.42474604700566004,0.2987012987012987,0.5,0.21296296296296297,0.11208780109882355,8
Logistic Regression,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.012049198150634766,0.8315329218106997,0.4549598443650648,0.5149700598802395,0.3805309734513274,0.7962962962962963,0.16894530222476112,9
RBF SVM,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.54557204246521,0.8253429355281207,0.5003879794388434,0.2733812949640288,0.6129032258064516,0.17592592592592593,0.11011104764441003,10
Linear SVM,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,1.8715181350708008,0.807270233196159,0.42618696505766396,0.0,0.0,0.0,0.13955553713609023,11
k-NN (k=7),1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.03789210319519043,0.7450960219478737,0.33152855337291615,0.2625,0.40384615384615385,0.19444444444444445,0.12714159737969263,12
Gaussian Naive Bayes,1:5,heldout_only,primary_train_fixed60,6e9ae3f7be813781f7df75691cd6734c9df1ef330579a007a3c50dc8af922949,a17657829d650c8f7a296a0c879ecf69fdc1e6b38aa0f0a49342ee3826c9fc55,ok,,,2580,648,5.0,0.0011138916015625,0.7421553497942386,0.30339896651364046,0.3865877712031558,0.24561403508771928,0.9074074074074074,0.46107134222984314,13
