ratio,TP,FP,FN,TN,accuracy,sensitivity,specificity,balanced_accuracy,matthews_correlation_coefficient
1:1,93,31,15,77,0.7870370370370371,0.8611111111111112,0.7129629629629629,0.787037037037037,0.580479561861682
1:2,84,44,24,172,0.7901234567901234,0.7777777777777778,0.7962962962962963,0.787037037037037,0.5535714285714286
