configuration,d_ratio_1_1,test_auroc_ratio_1_1,test_auprc_ratio_1_1,f1_ratio_1_1,precision_ratio_1_1,recall_ratio_1_1,brier_ratio_1_1,d_ratio_1_2,test_auroc_ratio_1_2,test_auprc_ratio_1_2,f1_ratio_1_2,precision_ratio_1_2,recall_ratio_1_2,brier_ratio_1_2,d_delta_1_1_minus_1_2,test_auroc_delta_1_1_minus_1_2,test_auprc_delta_1_1_minus_1_2,f1_delta_1_1_minus_1_2,precision_delta_1_1_minus_1_2,recall_delta_1_1_minus_1_2,brier_delta_1_1_minus_1_2
full,69,0.8419067215363512,0.8071899030934726,0.8017241379310345,0.75,0.8611111111111112,0.1558562517166137,69,0.8540380658436213,0.68241980213254,0.711864406779661,0.65625,0.7777777777777778,0.1559695750474929,0,-0.012131344307270142,0.12477010096093255,0.08985973115137347,0.09375,0.08333333333333337,-0.00011332333087921143
go_only,60,0.7758916323731139,0.7166464361886882,0.7264957264957265,0.6746031746031746,0.7870370370370371,0.187679648399353,60,0.7931241426611797,0.5795615020772165,0.632,0.5563380281690141,0.7314814814814815,0.1813912838697433,0,-0.017232510288065828,0.1370849341114717,0.09449572649572646,0.11826514643416053,0.05555555555555558,0.006288364529609708
jaccard_only,4,0.7631172839506173,0.7203976754689194,0.684931506849315,0.6756756756756757,0.6944444444444444,0.2070604264736175,4,0.7672968106995885,0.5944013799737012,0.5907172995780591,0.5426356589147286,0.6481481481481481,0.1935028880834579,0,-0.004179526748971263,0.12599629549521818,0.09421420727125596,0.133040016760947,0.04629629629629628,0.013557538390159607
minus_go,9,0.823559670781893,0.7725890033121011,0.7796610169491526,0.71875,0.8518518518518519,0.1706119924783706,9,0.8473508230452674,0.6965655431683722,0.6885245901639344,0.6176470588235294,0.7777777777777778,0.155159592628479,0,-0.02379115226337447,0.07602346014372896,0.09113642678521816,0.10110294117647056,0.07407407407407407,0.015452399849891607
minus_jaccard,65,0.7992112482853223,0.7554182739321644,0.7679324894514767,0.7054263565891473,0.8425925925925926,0.1766696870326995,65,0.8203017832647462,0.6330075096475171,0.6666666666666666,0.6060606060606061,0.7407407407407407,0.1699481010437011,0,-0.021090534979423925,0.12241076428464737,0.10126582278481011,0.09936575052854124,0.10185185185185186,0.006721585988998413
minus_size,64,0.8343621399176955,0.7836083513142535,0.8034934497816594,0.7603305785123967,0.8518518518518519,0.1643651723861694,64,0.8403206447187929,0.6554381566834141,0.6935483870967742,0.6142857142857143,0.7962962962962963,0.1611078828573227,0,-0.005958504801097386,0.12817019463083945,0.10994506268488513,0.1460448642266824,0.05555555555555558,0.003257289528846713
size_only,5,0.7680041152263375,0.676018654122172,0.7280701754385965,0.6916666666666667,0.7685185185185185,0.1910244226455688,5,0.7732767489711935,0.5241666313751692,0.5726495726495726,0.5317460317460317,0.6203703703703703,0.1906473785638809,0,-0.005272633744855981,0.15185202274700282,0.15542060278902392,0.1599206349206349,0.14814814814814814,0.0003770440816878995
