configuration,d,feature_selection_protocol,scale_pos_weight,test_auroc,test_auprc,f1,precision,recall,brier,delta_auroc_vs_full
full,69,primary_train_fixed60,2.0,0.8540380658436213,0.68241980213254,0.711864406779661,0.65625,0.7777777777777778,0.15596957504749298,0.0
go_only,60,primary_train_fixed60,2.0,0.7931241426611797,0.5795615020772165,0.632,0.5563380281690141,0.7314814814814815,0.18139128386974335,-0.0609139231824416
jaccard_only,4,primary_train_fixed60,2.0,0.7672968106995885,0.5944013799737012,0.5907172995780591,0.5426356589147286,0.6481481481481481,0.19350288808345795,-0.08674125514403275
size_only,5,primary_train_fixed60,2.0,0.7732767489711935,0.5241666313751692,0.5726495726495726,0.5317460317460317,0.6203703703703703,0.19064737856388092,-0.08076131687242782
minus_go,9,primary_train_fixed60,2.0,0.8473508230452674,0.6965655431683722,0.6885245901639344,0.6176470588235294,0.7777777777777778,0.155159592628479,-0.006687242798353865
minus_jaccard,65,primary_train_fixed60,2.0,0.8203017832647462,0.6330075096475171,0.6666666666666666,0.6060606060606061,0.7407407407407407,0.16994810104370117,-0.033736282578875065
minus_size,64,primary_train_fixed60,2.0,0.8403206447187929,0.6554381566834141,0.6935483870967742,0.6142857142857143,0.7962962962962963,0.1611078828573227,-0.013717421124828433
