split,n_positive,n_negative,n_total,n_kegg_positive,n_aracyc_positive,n_random_5_30,n_shuffled,n_partial_50_80,n_cross_pathway,cross_same_family_count,cross_same_family_fraction,cross_split_source_leakage_count,records_sha256,selected_go_sha256,primary_split_sha256
train,430,860,1290,124,306,215,215,215,215,66,0.30697674418604654,0,76a2cc6c0496890d6a729fc29b51a96c33e6375d924a0045b37e8190c235b624,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e
test,108,216,324,31,77,54,54,54,54,18,0.3333333333333333,0,81623aa3e8e4d1a2c4748e6d370ed1eddb0d12d7b5ae4482e7f08092b7ed8757,a17d3526d8fa0333d52805641c6233a8a22258c2dada2bd2d63b63dbd987cbbe,3f27fb5c1603ae5e9eb2d314cfe65bf29f1bae5cc2b3fbcc0d18161e9bc0bf6e
