ratio,feature_selection_primary_ratio,n_pos,n_neg,scale_pos_weight,cv_auroc_mean,cv_auroc_sd,test_auroc,test_auprc,f1,precision,recall,brier,negative_ratio,random_auprc_baseline,auprc_minus_baseline,normalized_auprc
1:1,1:4,538,538,1.0,0.8642058770506581,0.0170746564758212,0.8498799725651578,0.8144387434378788,0.808695652173913,0.7622950819672131,0.8611111111111112,0.153176724910736,1,0.5,0.3144387434378788,0.6288774868757576
1:2,1:4,538,1076,2.0,0.874195511087074,0.0083538021002326,0.8611968449931413,0.7151102439365897,0.6949152542372882,0.640625,0.7592592592592593,0.1539595574140548,2,0.3333333333333333,0.3817769106032564,0.5726653659048846
1:3,1:4,538,1614,3.0,0.8811249323958897,0.0136906368287196,0.8639689071787837,0.6533170287596316,0.6122448979591837,0.5474452554744526,0.6944444444444444,0.1473362743854522,3,0.25,0.4033170287596316,0.5377560383461755
1:4,1:4,538,2152,4.0,0.8788016044708852,0.0098736481387158,0.8664909122085048,0.5958729223742293,0.5801526717557252,0.4935064935064935,0.7037037037037037,0.1375099271535873,4,0.2,0.3958729223742293,0.4948411529677866
1:5,1:4,538,2690,5.0,0.8782368848025961,0.0093578947395187,0.8762345679012347,0.578529315049823,0.5413533834586466,0.4556962025316455,0.6666666666666666,0.1217219606041908,5,0.16666666666666666,0.41186264838315634,0.49423517805978756
