ratio,feature_selection_primary_ratio,n_pos,n_neg,scale_pos_weight,cv_auroc_mean,cv_auroc_sd,test_auroc,test_auprc,f1,precision,recall,brier
1:1,1:4,538,538,1.0,0.8642058770506581,0.017074656475821227,0.8498799725651578,0.8144387434378788,0.808695652173913,0.7622950819672131,0.8611111111111112,0.15317672491073608
1:2,1:4,538,1076,2.0,0.874195511087074,0.00835380210023268,0.8611968449931413,0.7151102439365897,0.6949152542372882,0.640625,0.7592592592592593,0.15395955741405487
1:3,1:4,538,1614,3.0,0.8811249323958897,0.013690636828719602,0.8639689071787837,0.6533170287596316,0.6122448979591837,0.5474452554744526,0.6944444444444444,0.14733627438545227
1:4,1:4,538,2152,4.0,0.8788016044708852,0.009873648138715819,0.8664909122085048,0.5958729223742293,0.5801526717557252,0.4935064935064935,0.7037037037037037,0.13750992715358734
1:5,1:4,538,2690,5.0,0.8782368848025961,0.009357894739518723,0.8762345679012347,0.578529315049823,0.5413533834586466,0.45569620253164556,0.6666666666666666,0.12172196060419083
