model,primary_ratio,model_comparison_protocol,feature_selection_protocol,selected_go_sha256,primary_split_sha256,status,cv_auroc_mean,cv_auroc_sd,train_size,test_size,scale_pos_weight,elapsed_s,test_auroc,test_auprc,f1,precision,recall,brier,rank_by_auroc
XGBoost,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.892890214920044,0.8664909122085048,0.5958729223742293,0.5801526717557252,0.4935064935064935,0.7037037037037037,0.13750992715358734,1
Gradient Boosting,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,2.145142078399658,0.8663194444444445,0.563595860694484,0.5221674876847291,0.5578947368421052,0.49074074074074076,0.12062210259424554,2
LightGBM,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,1.5656039714813232,0.862482853223594,0.5819813474902197,0.5767790262172284,0.48427672955974843,0.7129629629629629,0.14058359177184926,3
CatBoost,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.6802430152893066,0.8622899519890261,0.5560213063816617,0.5953177257525084,0.46596858638743455,0.8240740740740741,0.14622142430232837,4
AdaBoost,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.6149680614471436,0.8487225651577502,0.4808517044070917,0.4065934065934066,0.5,0.3425925925925926,0.1841106408736743,5
Random Forest,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.4336268901824951,0.8484439300411522,0.5148378685898133,0.5616438356164384,0.44565217391304346,0.7592592592592593,0.13864056782132628,6
Extra Trees,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.306394100189209,0.8426568930041152,0.5407155787975949,0.5352112676056338,0.38461538461538464,0.8796296296296297,0.16584495101344113,7
RBF SVM,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.40410780906677246,0.8405671296296297,0.5329911360781986,0.40718562874251496,0.576271186440678,0.3148148148148148,0.12273804747499915,8
Logistic Regression,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.010488033294677734,0.8303112139917697,0.5109233719027766,0.5483870967741935,0.4207920792079208,0.7870370370370371,0.1731395992079044,9
Linear SVM,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.7551841735839844,0.8104852537722907,0.5155079675833437,0.2446043165467626,0.5483870967741935,0.1574074074074074,0.12824340818119534,10
MLP,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.04447484016418457,0.7907235939643347,0.4328994529928738,0.267515923566879,0.42857142857142855,0.19444444444444445,0.13779392838478088,11
k-NN (k=7),1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.03554415702819824,0.7743055555555556,0.37940446078292234,0.29545454545454547,0.38235294117647056,0.24074074074074073,0.14153439153439154,12
Gaussian Naive Bayes,1:4,heldout_only,primary_train_fixed60,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0,ok,,,2150,540,4.0,0.0011410713195800781,0.7520361796982168,0.3468921492586326,0.4503311258278146,0.2956521739130435,0.9444444444444444,0.45018067955970764,13
