rank,feature,importance,method,primary_ratio
1,jaccard_mean,1.060725212097168,shap_mean_abs,1:4
2,pathway_size,0.7194969058036804,shap_mean_abs,1:4
3,go_entropy,0.6225969195365906,shap_mean_abs,1:4
4,jaccard_std,0.2738631069660187,shap_mean_abs,1:4
5,GO:0009507,0.25858357548713684,shap_mean_abs,1:4
6,mean_go_per_gene,0.22371071577072144,shap_mean_abs,1:4
7,GO:0008150,0.2171086072921753,shap_mean_abs,1:4
8,GO:0003729,0.20826421678066254,shap_mean_abs,1:4
9,GO:0005829,0.19997113943099976,shap_mean_abs,1:4
10,log_size,0.17465339601039886,shap_mean_abs,1:4
11,jaccard_max,0.14895223081111908,shap_mean_abs,1:4
12,GO:0005737,0.1454543024301529,shap_mean_abs,1:4
13,GO:0003700,0.14372825622558594,shap_mean_abs,1:4
14,GO:0004672,0.13499222695827484,shap_mean_abs,1:4
15,GO:0006412,0.1290263682603836,shap_mean_abs,1:4
16,go_size_std,0.11863012611865997,shap_mean_abs,1:4
17,GO:0042742,0.1129789724946022,shap_mean_abs,1:4
18,GO:0016757,0.09743758291006088,shap_mean_abs,1:4
19,GO:0009409,0.09101394563913345,shap_mean_abs,1:4
20,GO:0009570,0.0886126160621643,shap_mean_abs,1:4
21,GO:0005783,0.08501481264829636,shap_mean_abs,1:4
22,GO:0006979,0.0804925188422203,shap_mean_abs,1:4
23,GO:0004674,0.07768098264932632,shap_mean_abs,1:4
24,GO:0005575,0.07542049139738083,shap_mean_abs,1:4
25,GO:0006355,0.05683068558573723,shap_mean_abs,1:4
26,GO:0005576,0.05073067173361778,shap_mean_abs,1:4
27,GO:0005777,0.04399401694536209,shap_mean_abs,1:4
28,jaccard_min,0.03817223384976387,shap_mean_abs,1:4
29,GO:0003723,0.03413968160748482,shap_mean_abs,1:4
30,GO:0016020,0.031000608578324318,shap_mean_abs,1:4
