split,primary_ratio,n_positive,n_negative,n_total,n_kegg_positive,n_aracyc_positive,n_random_5_30,n_shuffled,n_partial_50_80,n_cross_pathway,cross_same_family_count,cross_same_family_fraction,cross_split_source_leakage_count,records_sha256,selected_go_sha256,primary_split_sha256
train,1:4,430,1720,2150,124,306,430,430,430,430,129,0.3,0,72351e2f1820f5d84bb25f9faac657c7dff2415a5db144a4079878ebacf103a5,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0
test,1:4,108,432,540,31,77,108,108,108,108,41,0.37962962962962965,0,708877c0c12b66ebd09490f0a0c8c407a9fccbda4409cc74fd6b2130fffb3978,0d191605db14d0fdc244e5bd720c63012ac47472dcde9ac64e90006c79627cd3,73660164d23502d55079e3e959e820f586693e5d766a1ffe73ae3e9763ad94c0
