ratio,n_pos,n_neg,scale_pos_weight,cv_auroc_mean,cv_auroc_sd,test_auroc,test_auprc,f1,precision,recall,brier
1:1,538,538,1.0,0.8436482077853725,0.011490802782106709,0.8325617283950617,0.7964301126105261,0.8151260504201681,0.7461538461538462,0.8981481481481481,0.15605564415454865
1:2,538,1076,2.0,0.85087227522093,0.009692557809800795,0.8550240054869684,0.6969351319457913,0.7063197026022305,0.5900621118012422,0.8796296296296297,0.1515597105026245
1:3,538,1614,3.0,0.8636442333539507,0.018377909580493644,0.8555098308184728,0.5855647630383707,0.6305084745762712,0.49732620320855614,0.8611111111111112,0.15159384906291962
1:4,538,2152,4.0,0.863222126299869,0.0048250651026303685,0.8584104938271605,0.5160134455586396,0.5886075949367089,0.44711538461538464,0.8611111111111112,0.1484539806842804
1:5,538,2690,5.0,0.865515630735437,0.008438087762303183,0.869238683127572,0.5267890948557624,0.5636363636363636,0.4189189189189189,0.8611111111111112,0.14003223180770874
