configuration,d,feature_selection_protocol,scale_pos_weight,test_auroc,test_auprc,f1,precision,recall,brier,delta_auroc_vs_full
full,69,primary_train_fixed60,2.0,0.8550240054869684,0.6969351319457913,0.7063197026022305,0.5900621118012422,0.8796296296296297,0.1515597105026245,0.0
go_only,60,primary_train_fixed60,2.0,0.7720550411522633,0.5256917106224204,0.6529209621993127,0.5191256830601093,0.8796296296296297,0.18448226153850555,-0.08296896433470513
jaccard_only,4,primary_train_fixed60,2.0,0.7712834362139918,0.5774512920895748,0.6031746031746031,0.5277777777777778,0.7037037037037037,0.1898486167192459,-0.08374056927297668
size_only,5,primary_train_fixed60,2.0,0.7729338134430728,0.5253290524742356,0.631578947368421,0.5316455696202531,0.7777777777777778,0.1788468211889267,-0.08209019204389567
minus_go,9,primary_train_fixed60,2.0,0.8475651577503429,0.6758254038428496,0.7245283018867924,0.6114649681528662,0.8888888888888888,0.1520894318819046,-0.007458847736625529
minus_jaccard,65,primary_train_fixed60,2.0,0.7994684499314129,0.5793794685961459,0.6691729323308271,0.5632911392405063,0.8240740740740741,0.17053285241127014,-0.05555555555555558
minus_size,64,primary_train_fixed60,2.0,0.8224022633744856,0.6249213686412328,0.6914498141263941,0.577639751552795,0.8611111111111112,0.16518336534500122,-0.03262174211248281
