primary_model,comparison_model,metric,n_paired_folds,mean_primary_minus_comparison,sd_difference,descriptive_95pct_lower,descriptive_95pct_upper,note
Six-tree soft-voting ensemble,Logistic Regression,auroc,15,0.04221125995149232,0.023753974062831463,0.03019009048048467,0.05423242942249998,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Logistic Regression,auprc,15,0.03719765099593949,0.027750240501297915,0.023154091672141913,0.051241210319737066,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Logistic Regression,f1,15,0.04524829855595822,0.024339622161105984,0.03293075025498682,0.05756584685692963,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Logistic Regression,brier,15,-0.028037223215420053,0.012503492243045273,-0.03436486333304845,-0.021709583097791654,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Linear SVM,auroc,15,0.04305807504025058,0.026558279285918487,0.02961773131882099,0.05649841876168017,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Linear SVM,auprc,15,0.0382646342394203,0.03164318628574895,0.022250972528016073,0.054278295950824534,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Linear SVM,f1,15,0.033969841005195595,0.025883167500277447,0.02087115098624117,0.04706853102415002,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,Linear SVM,brier,15,-0.03622115114209849,0.012003006989686897,-0.04229551077569305,-0.030146791508503933,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,RBF SVM,auroc,15,0.03027361127771672,0.028729537926913323,0.015734459078187886,0.044812763477245554,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,RBF SVM,auprc,15,0.011836417522371944,0.0376492908719425,-0.007216752479318878,0.03088958752406277,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,RBF SVM,f1,15,0.05206465163227792,0.03234253274358897,0.035697071782106404,0.06843223148244944,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,RBF SVM,brier,15,-0.023442174851037504,0.010796373769654633,-0.028905893823453092,-0.017978455878621916,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,k-NN (k=7),auroc,15,0.0876419687501993,0.037848571412958595,0.06848794888020888,0.10679598862018973,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,k-NN (k=7),auprc,15,0.09672076926458126,0.045389264256774385,0.07375063229500355,0.11969090623415897,Descriptive paired interval; no significance claim.
Six-tree soft-voting ensemble,k-NN (k=7),f1,15,0.06644608492700557,0.03035492043927316,0.051084375685669446,0.08180779416834169,Descriptive paired interval; no significance claim.
