model,n_test,test_auroc,test_auprc,f1,precision,recall,brier
Random Forest,206,0.8618154397209916,0.831031064059151,0.8018018018018018,0.7478991596638656,0.8640776699029126,0.15004824829925234
Extra Trees,206,0.8434348194928833,0.811984093354918,0.8,0.7007299270072993,0.9320388349514563,0.16572354068109874
Gradient Boosting,206,0.8669997172212273,0.843181373412812,0.7887323943661971,0.7636363636363637,0.8155339805825242,0.1458669737004114
XGBoost,206,0.864926006221133,0.8423487652345576,0.7837837837837838,0.7310924369747899,0.8446601941747572,0.14672833330474136
LightGBM,206,0.8622867376755585,0.8488742124064804,0.7927927927927928,0.7394957983193278,0.8543689320388349,0.1519990406857902
CatBoost,206,0.8653030445847865,0.841018285476609,0.7813953488372093,0.75,0.8155339805825242,0.1443343348679979
