n_go_terms,model,n_total_features,n_folds,preselected_feature_count,feature_selection_protocol,outer_test_used,mean_auroc,sd_auroc,mean_auprc,sd_auprc,mean_normalized_auprc,sd_normalized_auprc,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,mean_brier,sd_brier,mean_elapsed_s,sd_elapsed_s,delta_auroc_vs_reference,delta_auroc_over_pooled_sd_vs_reference,delta_auprc_vs_reference,delta_auprc_over_pooled_sd_vs_reference,delta_f1_vs_reference,delta_f1_over_pooled_sd_vs_reference
20,Six-tree soft-voting ensemble,29,15,False,fold_training_variance_mi_top_k,False,0.8406328226240765,0.02009826905552655,0.7939683749960765,0.034222360233581516,0.5879367499921531,0.06844472046716303,0.7898644400712401,0.023479122850523133,0.7286112693223726,0.02190604814364404,0.8639164910167622,0.046228613886076915,0.1555055493406671,0.009022232652258294,1.773321564992269,0.07834320892700276,-0.004096138851359177,-0.19519329648560757,-0.002456168677327897,-0.06562411275386144,-0.00669194390868777,-0.31297621518258084
40,Six-tree soft-voting ensemble,49,15,False,fold_training_variance_mi_top_k,False,0.8367672477900239,0.021045677601850617,0.7898469324986077,0.03691462673761389,0.5796938649972154,0.07382925347522779,0.7896846951357396,0.017996990906610236,0.7267037171829105,0.025459817750089476,0.8663454782695975,0.03728714141821308,0.15599227241777813,0.008962487108202745,2.0142081419626874,0.08271683448083517,-0.007961713685411764,-0.3712725475640706,-0.006577611174796716,-0.17002582872145913,-0.006871688844188317,-0.3707739280745756
60,Six-tree soft-voting ensemble,69,15,True,fold_training_variance_mi_top_k,False,0.8447289614754356,0.021835825306630738,0.7964245436734044,0.04037965096305076,0.5928490873468087,0.08075930192610152,0.7965563839799279,0.01905464812784854,0.729788910853896,0.022145535714403457,0.8777677406403693,0.03285855771819075,0.1526085796188249,0.008371071900506708,2.2571889718373614,0.09269473344140859,0.0,0.0,0.0,0.0,0.0,0.0
80,Six-tree soft-voting ensemble,89,15,False,fold_training_variance_mi_top_k,False,0.848021267971833,0.018579855727179795,0.8017148115783316,0.03446675966837569,0.6034296231566629,0.06893351933675138,0.7996408397428589,0.01455182121567957,0.7322732336247054,0.0187878812723631,0.8818428184281842,0.03277440340475197,0.15185448824620765,0.00801016950723864,2.471524477005005,0.0878425332281624,0.0032923064963973347,0.16239609014073672,0.005290267904927148,0.14092422905483204,0.0030844557629310376,0.181937364123756
100,Six-tree soft-voting ensemble,109,15,False,fold_training_variance_mi_top_k,False,0.8485719973295954,0.01943248965576117,0.8049356890730476,0.033297284677964424,0.6098713781460952,0.06659456935592885,0.7939352225462762,0.02320382988302879,0.7266780444068822,0.02644004571939474,0.8761718357924321,0.03754743677065382,0.15165453795809247,0.008062730192413515,2.689936049779256,0.12780285229188815,0.003843035854159793,0.18593128922585253,0.00851114539964315,0.22997949939056087,-0.002621161433651653,-0.12346007692317268
