configuration,model,primary_ratio,d,feature_selection_protocol,scale_pos_weight,class_weight,n_component_models,test_auroc,test_auprc,f1,precision,recall,brier,delta_auroc_vs_full
full,Six-tree soft-voting ensemble,1:1,69,primary_train_fixed60,,component_specific,6,0.8726552926760298,0.8496029638483467,0.8108108108108109,0.7563025210084033,0.8737864077669902,0.142134651185383,0.0
go_only,Six-tree soft-voting ensemble,1:1,60,primary_train_fixed60,,component_specific,6,0.807427655763974,0.7563683676129258,0.7692307692307693,0.7203389830508474,0.8252427184466019,0.16940088013787402,-0.0652276369120558
jaccard_only,Six-tree soft-voting ensemble,1:1,4,primary_train_fixed60,,component_specific,6,0.7644452823074747,0.7483974417484375,0.6568627450980392,0.6633663366336634,0.6504854368932039,0.19585689334787415,-0.10821001036855515
size_only,Six-tree soft-voting ensemble,1:1,5,primary_train_fixed60,,component_specific,6,0.7818833066264492,0.7310557760275214,0.7478260869565218,0.6771653543307087,0.8349514563106796,0.1809572439262821,-0.09077198604958059
minus_go,Six-tree soft-voting ensemble,1:1,9,primary_train_fixed60,,component_specific,6,0.8371194269016873,0.8160195440402249,0.7477477477477478,0.6974789915966386,0.8058252427184466,0.16108484540404389,-0.035535865774342534
minus_jaccard,Six-tree soft-voting ensemble,1:1,65,primary_train_fixed60,,component_specific,6,0.8407012913563956,0.8149740654155953,0.7644444444444445,0.7049180327868853,0.8349514563106796,0.15944788130267581,-0.03195400131963422
minus_size,Six-tree soft-voting ensemble,1:1,64,primary_train_fixed60,,component_specific,6,0.844094636629277,0.8066658669924038,0.8018018018018018,0.7478991596638656,0.8640776699029126,0.1527472456192457,-0.02856065604675284
