gene_set_type,n,mean_score,score_sd,q1_score,median_score,q3_score,positive_prediction_count_at_0_5,false_positive_count_at_0_5,false_positive_rate_at_0_5
curated_pathway,103,0.6858174112106692,0.15210629848508056,0.6129893203670598,0.7287415309040708,0.793529656374036,89,0,
random_5_30,26,0.07286904414953033,0.0838895884177101,0.023131503345279365,0.03975073743921881,0.06974036733694394,0,0,0.0
shuffled,26,0.052535138873629664,0.06207118011881576,0.014073386296142052,0.03061771467605977,0.05819931281192316,0,0,0.0
partial_50_80,26,0.5933165085128286,0.1654367974562042,0.5145196370276901,0.6333050225064074,0.7266755826490259,20,20,0.7692307692307693
cross_pathway,25,0.464476160383458,0.1949588773576394,0.3377181390573494,0.4310917669111711,0.6263904137993958,10,10,0.4
