model,config_id,config_index,parameters_json,parameters_sha256,repeat_index,repeat_seed,fold_index,ratio,n_train,n_validation,positive_prevalence,auroc,auprc,normalized_auprc,f1,precision,recall,brier,elapsed_s,scale_pos_weight,selected_go_sha256,train_negative_seed,validation_negative_seed,feature_selection_seed,model_seed,outer_test_used
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,2,13,0,1:1,654,164,0.5,0.8219809637120761,0.7968458431220938,0.5936916862441877,0.7582417582417582,0.69,0.8414634146341463,0.16479982751836525,0.21983666700543836,,b1e29c5fe8af2195e9abc0f61c3f3c4d213fca3f89d1193c4a6653fb53126347,4197323642,3493101560,3288021756,261167866,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,2,13,1,1:1,654,164,0.5,0.8161808447352765,0.7617323407563963,0.5234646815127926,0.7734806629834254,0.7070707070707071,0.8536585365853658,0.1700023177429829,0.2270829170010984,,e3474974719a7c03379f3842f5f95d0ed2107cdd8a6ad009ba26fbebf9498feb,3966191544,1903504230,667876274,3411050692,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,2,13,2,1:1,654,164,0.5,0.8381915526472339,0.7676278633890323,0.5352557267780647,0.7875647668393783,0.6846846846846847,0.926829268292683,0.1593129771876614,0.22984195803292096,,9a349209c7d3b9bd40965068b2a613107212665860e7bbb02addbf0f67e5d1fd,1319135375,2081672424,66402786,1633975599,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,2,13,3,1:1,654,164,0.5,0.8444378346222488,0.7799503049837803,0.5599006099675605,0.7978723404255319,0.7075471698113207,0.9146341463414634,0.16109666761498342,0.22699845797615126,,d3ae34fbcfb73c5a1be0c96ad00e7eec3433eb478aea0c91dd2163d7870a83ad,2293279620,3028097891,2933952375,4053831653,False
Random Forest,random_forest_01,1,"{""max_depth"":8,""max_features"":""sqrt"",""n_estimators"":300}",cbb0ab02c8f148fca1bababd79ebfe29c823e1aa8da608a94c36b9c86b27d7bb,2,13,4,1:1,656,162,0.5,0.8640451150739217,0.8176839042625832,0.6353678085251664,0.8409090909090909,0.7789473684210526,0.9135802469135802,0.14744275382960623,0.22150729200802743,,253211c36a4e03f7beb1ba4c6fb38a30d71faa649d183e5779b5f27efb6ce6bf,3410040530,245057234,532155413,762879727,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,0,42,0,1:1,654,164,0.5,0.8648126115407495,0.8020229444964937,0.6040458889929874,0.8222222222222222,0.7551020408163265,0.9024390243902439,0.14599798438850695,0.441048749955371,,b9f1edb670a53afef5f4c085e90bf5e13a41156251f6667b1a65871f2c4c47e0,1973658644,3715151037,233149161,2399526814,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,0,42,1,1:1,654,164,0.5,0.8273349196906603,0.8011019746041903,0.6022039492083806,0.7593582887700535,0.6761904761904762,0.8658536585365854,0.16416381712291722,0.4694955840241164,,c59d36017adea2f05186de3822c3dd8c95d35f359f7ff35c586a14db623a3103,2786658438,2191900349,3517737438,2371526345,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,0,42,2,1:1,654,164,0.5,0.8291195716835217,0.7919481162802076,0.5838962325604151,0.7978723404255319,0.7075471698113207,0.9146341463414634,0.15392312827371232,0.4685847500222735,,091c82241439a2f22ad7066be22112027623cd7401cf37ff3920d078a7a913e2,1888399133,2010463502,629780227,48921201,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,0,42,3,1:1,654,164,0.5,0.8582688875669244,0.8051533883124116,0.6103067766248231,0.7777777777777778,0.7142857142857143,0.8536585365853658,0.1482301413808922,0.49972591595724225,,971bb2c8d0b3b7495acb94f62ea8741d4ff4e6e52c17cfe1f97b50e8801a1513,1161336969,599905126,3703496083,230894654,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,0,42,4,1:1,656,162,0.5,0.8367626886145404,0.7768535994827797,0.5537071989655593,0.7868852459016393,0.7058823529411765,0.8888888888888888,0.16099933261538713,0.4329297500080429,,78610b63b09a3b3be6828cac4d903ead2c4bc5386d421ebf8e60227a9040ab96,1001834057,624141303,515383750,972393367,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,1,7,0,1:1,654,164,0.5,0.8389351576442593,0.7822803542952224,0.5645607085904447,0.806282722513089,0.7064220183486238,0.9390243902439024,0.15539511221316868,0.47810454096179456,,74e66c11e57d405efbe19a02f13985423c60121aaf1960175664824578d0255d,2521657055,4094230609,264134123,842399429,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,1,7,1,1:1,654,164,0.5,0.8361094586555622,0.7994174210207496,0.5988348420414993,0.8176795580110497,0.7474747474747475,0.9024390243902439,0.15277363445081907,0.4449569999706,,850c47286a5ff6cd122bd73c64fe0c130b4f93517aa2f9a4ab0225caa37355f8,3885368634,2431578943,1619142612,2845288631,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,1,7,2,1:1,654,164,0.5,0.8703152885187388,0.8510696154906967,0.7021392309813934,0.8152173913043478,0.7352941176470589,0.9146341463414634,0.14558186912954138,0.4573213330004364,,a58cdcfd42f13eceb650b4e384e38c15ac3d252fa7a9cf51166f33733bec7373,1974496636,1223099430,3474831427,1753096405,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,1,7,3,1:1,654,164,0.5,0.8270374776918501,0.7768084280805145,0.5536168561610291,0.7888888888888889,0.7244897959183674,0.8658536585365854,0.15927160046856897,0.4377472909982316,,0787429d108adbb8f716a931370780c2b496f9b4a512b716c8c31ecf6b7c002f,2308674788,3336517605,3055848280,3336201630,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,1,7,4,1:1,656,162,0.5,0.8536808413351623,0.8048402721322256,0.6096805442644513,0.8415300546448088,0.7549019607843137,0.9506172839506173,0.14855625483603088,0.45824654202442616,,fd5a87140a37ffe54b3e77a354b4bd55b27678e3392d3612bcc974fcd938aac7,26843640,2371250898,2203746204,3425021368,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,2,13,0,1:1,654,164,0.5,0.8261451516954195,0.795403346930205,0.59080669386041,0.7759562841530054,0.7029702970297029,0.8658536585365854,0.16462152445507183,0.45033450005576015,,b1e29c5fe8af2195e9abc0f61c3f3c4d213fca3f89d1193c4a6653fb53126347,4197323642,3493101560,3288021756,261167866,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,2,13,1,1:1,654,164,0.5,0.825698988697204,0.772126778279423,0.544253556558846,0.7909604519774012,0.7368421052631579,0.8536585365853658,0.164398331819118,0.47038616600912064,,e3474974719a7c03379f3842f5f95d0ed2107cdd8a6ad009ba26fbebf9498feb,3966191544,1903504230,667876274,3411050692,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,2,13,2,1:1,654,164,0.5,0.838340273646639,0.7752201837806239,0.5504403675612477,0.7914438502673797,0.7047619047619048,0.9024390243902439,0.15663664062248628,0.4932705410174094,,9a349209c7d3b9bd40965068b2a613107212665860e7bbb02addbf0f67e5d1fd,1319135375,2081672424,66402786,1633975599,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,2,13,3,1:1,654,164,0.5,0.8459250446162998,0.7781898743596898,0.5563797487193796,0.8167539267015707,0.7155963302752294,0.9512195121951219,0.15423413729430863,0.4608522920170799,,d3ae34fbcfb73c5a1be0c96ad00e7eec3433eb478aea0c91dd2163d7870a83ad,2293279620,3028097891,2933952375,4053831653,False
Random Forest,random_forest_02,2,"{""max_depth"":8,""max_features"":0.5,""n_estimators"":300}",a3d6533d7687da604e0db012d3b4dfa2ef88bfb5ce688d80a6feb0fe6b9404a9,2,13,4,1:1,656,162,0.5,0.8643499466544733,0.8029422803714563,0.6058845607429126,0.8390804597701149,0.7849462365591398,0.9012345679012346,0.13834239462773731,0.45326345798093826,,253211c36a4e03f7beb1ba4c6fb38a30d71faa649d183e5779b5f27efb6ce6bf,3410040530,245057234,532155413,762879727,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,0,42,0,1:1,654,164,0.5,0.8619869125520523,0.8298622735642073,0.6597245471284146,0.8210526315789474,0.7222222222222222,0.9512195121951219,0.1509507344045256,0.24368237500311807,,b9f1edb670a53afef5f4c085e90bf5e13a41156251f6667b1a65871f2c4c47e0,1973658644,3715151037,233149161,2399526814,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,0,42,1,1:1,654,164,0.5,0.8439916716240333,0.819169545413065,0.6383390908261299,0.7956989247311828,0.7115384615384616,0.9024390243902439,0.15378618040072684,0.239387915993575,,c59d36017adea2f05186de3822c3dd8c95d35f359f7ff35c586a14db623a3103,2786658438,2191900349,3517737438,2371526345,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,0,42,2,1:1,654,164,0.5,0.8466686496133253,0.8208837616286317,0.6417675232572635,0.8042328042328042,0.7102803738317757,0.926829268292683,0.15105509616839932,0.2372828330262564,,091c82241439a2f22ad7066be22112027623cd7401cf37ff3920d078a7a913e2,1888399133,2010463502,629780227,48921201,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,0,42,3,1:1,654,164,0.5,0.8429506246281976,0.798191794566317,0.5963835891326339,0.783068783068783,0.6915887850467289,0.9024390243902439,0.1601180089162644,0.24558595899725333,,971bb2c8d0b3b7495acb94f62ea8741d4ff4e6e52c17cfe1f97b50e8801a1513,1161336969,599905126,3703496083,230894654,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,0,42,4,1:1,656,162,0.5,0.8381344307270233,0.7860807145089967,0.5721614290179935,0.7717391304347826,0.6893203883495146,0.8765432098765432,0.1604500491325854,0.22988250001799315,,78610b63b09a3b3be6828cac4d903ead2c4bc5386d421ebf8e60227a9040ab96,1001834057,624141303,515383750,972393367,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,1,7,0,1:1,654,164,0.5,0.8511302795954789,0.7861492452192118,0.5722984904384236,0.8105263157894737,0.7129629629629629,0.9390243902439024,0.15654948122232915,0.23924954200629145,,74e66c11e57d405efbe19a02f13985423c60121aaf1960175664824578d0255d,2521657055,4094230609,264134123,842399429,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,1,7,1,1:1,654,164,0.5,0.8301606186793575,0.7894236478356251,0.5788472956712503,0.8021978021978022,0.73,0.8902439024390244,0.15759300305675994,0.2314434580039233,,850c47286a5ff6cd122bd73c64fe0c130b4f93517aa2f9a4ab0225caa37355f8,3885368634,2431578943,1619142612,2845288631,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,1,7,2,1:1,654,164,0.5,0.8685306365258775,0.8518564764268111,0.7037129528536221,0.8085106382978723,0.7169811320754716,0.926829268292683,0.15001213824098328,0.24020916601875797,,a58cdcfd42f13eceb650b4e384e38c15ac3d252fa7a9cf51166f33733bec7373,1974496636,1223099430,3474831427,1753096405,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,1,7,3,1:1,654,164,0.5,0.8181142177275431,0.7895945858354667,0.5791891716709334,0.7717391304347826,0.696078431372549,0.8658536585365854,0.16355376398474328,0.23085900000296533,,0787429d108adbb8f716a931370780c2b496f9b4a512b716c8c31ecf6b7c002f,2308674788,3336517605,3055848280,3336201630,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,1,7,4,1:1,656,162,0.5,0.8491083676268861,0.7916224153859243,0.5832448307718485,0.8432432432432433,0.75,0.9629629629629629,0.15628254801876082,0.23815316701075062,,fd5a87140a37ffe54b3e77a354b4bd55b27678e3392d3612bcc974fcd938aac7,26843640,2371250898,2203746204,3425021368,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,2,13,0,1:1,654,164,0.5,0.8262938726948246,0.8018798006760228,0.6037596013520456,0.7692307692307693,0.7,0.8536585365853658,0.161670573065238,0.2390776249812916,,b1e29c5fe8af2195e9abc0f61c3f3c4d213fca3f89d1193c4a6653fb53126347,4197323642,3493101560,3288021756,261167866,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,2,13,1,1:1,654,164,0.5,0.8234681737061273,0.7695139403000736,0.5390278806001472,0.7955801104972375,0.7272727272727273,0.8780487804878049,0.16584734924006655,0.24901679204776883,,e3474974719a7c03379f3842f5f95d0ed2107cdd8a6ad009ba26fbebf9498feb,3966191544,1903504230,667876274,3411050692,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,2,13,2,1:1,654,164,0.5,0.83982748364069,0.7793492593801545,0.5586985187603091,0.7724867724867724,0.6822429906542056,0.8902439024390244,0.1573630001292228,0.24896583298686892,,9a349209c7d3b9bd40965068b2a613107212665860e7bbb02addbf0f67e5d1fd,1319135375,2081672424,66402786,1633975599,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,2,13,3,1:1,654,164,0.5,0.8508328375966687,0.7758259277139463,0.5516518554278926,0.8191489361702128,0.7264150943396226,0.9390243902439024,0.1573653957338059,0.2445992500288412,,d3ae34fbcfb73c5a1be0c96ad00e7eec3433eb478aea0c91dd2163d7870a83ad,2293279620,3028097891,2933952375,4053831653,False
Random Forest,random_forest_03,3,"{""max_depth"":10,""max_features"":""sqrt"",""n_estimators"":300}",c0bb7d0b9e7faf9801fe2c6e2cd49541ab48729b14a041226992370c5e2ca242,2,13,4,1:1,656,162,0.5,0.8632830361225423,0.8154191522424169,0.6308383044848338,0.8409090909090909,0.7789473684210526,0.9135802469135802,0.14478910010213766,0.23697208298835903,,253211c36a4e03f7beb1ba4c6fb38a30d71faa649d183e5779b5f27efb6ce6bf,3410040530,245057234,532155413,762879727,False
Random Forest,random_forest_04,4,"{""max_depth"":10,""max_features"":0.5,""n_estimators"":300}",dd0abca8e748bfa63a537c4836c4bf3defcd7da330aef7178924e1790c857305,0,42,0,1:1,654,164,0.5,0.857674003569304,0.7965841010333825,0.593168202066765,0.8287292817679558,0.7575757575757576,0.9146341463414634,0.14781393758200922,0.47898779198294505,,b9f1edb670a53afef5f4c085e90bf5e13a41156251f6667b1a65871f2c4c47e0,1973658644,3715151037,233149161,2399526814,False
Random Forest,random_forest_04,4,"{""max_depth"":10,""max_features"":0.5,""n_estimators"":300}",dd0abca8e748bfa63a537c4836c4bf3defcd7da330aef7178924e1790c857305,0,42,1,1:1,654,164,0.5,0.823022010707912,0.7880391023321858,0.5760782046643715,0.7807486631016043,0.6952380952380952,0.8902439024390244,0.1654262263346869,0.5072012500022538,,c59d36017adea2f05186de3822c3dd8c95d35f359f7ff35c586a14db623a3103,2786658438,2191900349,3517737438,2371526345,False
Random Forest,random_forest_04,4,"{""max_depth"":10,""max_features"":0.5,""n_estimators"":300}",dd0abca8e748bfa63a537c4836c4bf3defcd7da330aef7178924e1790c857305,0,42,2,1:1,654,164,0.5,0.8197501487209994,0.7787595600596489,0.5575191201192977,0.8042328042328042,0.7102803738317757,0.926829268292683,0.15700452538825826,0.5027912500081584,,091c82241439a2f22ad7066be22112027623cd7401cf37ff3920d078a7a913e2,1888399133,2010463502,629780227,48921201,False
