ratio,go_term,selected_fold_count,selected_fold_fraction,n_folds,pairwise_jaccard_mean,pairwise_jaccard_sd,pairwise_jaccard_min,pairwise_jaccard_max
1:1,GO:0003700,15,1.0,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0006414,15,1.0,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0008150,15,1.0,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0030533,15,1.0,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0005737,13,0.8666666666666667,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0006412,13,0.8666666666666667,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0005575,12,0.8,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0006355,12,0.8,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0009507,12,0.8,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0007165,11,0.7333333333333333,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0005829,9,0.6,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0005886,9,0.6,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0006357,9,0.6,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0000976,8,0.5333333333333333,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0003729,8,0.5333333333333333,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0004674,8,0.5333333333333333,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0005576,8,0.5333333333333333,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0000981,7,0.4666666666666667,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0003723,7,0.4666666666666667,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0003735,7,0.4666666666666667,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
1:1,GO:0016020,7,0.4666666666666667,15,0.12204689005292024,0.023273266934734547,0.06666666666666667,0.17647058823529413
