negative_type,n_positive,n_negative,test_auroc,test_auprc,f1,precision,recall,brier
random_5_30,103,26,1.0,1.0,0.9326424870466321,1.0,0.8737864077669902,0.09875981679118494
shuffled,103,26,0.9996265870052278,0.9999066467513069,0.9326424870466321,1.0,0.8737864077669902,0.09782248162696712
partial_50_80,103,26,0.6695294996265869,0.8928096800491157,0.8490566037735849,0.8256880733944955,0.8737864077669902,0.17505904326622013
cross_pathway,103,25,0.8194174757281554,0.9422732338519597,0.8866995073891626,0.9,0.8737864077669902,0.14539255428854553
