configuration,model,primary_ratio,d,feature_selection_protocol,scale_pos_weight,class_weight,n_component_models,test_auroc,test_auprc,f1,precision,recall,brier,delta_auroc_vs_full
full,Six-tree soft-voting ensemble,1:1,69,primary_train_fixed60,,component_specific,6,0.8725610330851163,0.8471078612652952,0.8018018018018018,0.7478991596638656,0.8640776699029126,0.14151319395463682,0.0
go_only,Six-tree soft-voting ensemble,1:1,60,primary_train_fixed60,,component_specific,6,0.8084645112640212,0.7667314641393612,0.7614678899082569,0.7217391304347827,0.8058252427184466,0.16811844690133929,-0.06409652182109515
jaccard_only,Six-tree soft-voting ensemble,1:1,4,primary_train_fixed60,,component_specific,6,0.7656706569893487,0.746429797960311,0.6794258373205742,0.6698113207547169,0.6893203883495146,0.19445477628709698,-0.10689037609576768
size_only,Six-tree soft-voting ensemble,1:1,5,primary_train_fixed60,,component_specific,6,0.7878216608539919,0.7485433362457132,0.7368421052631579,0.672,0.8155339805825242,0.17874070367798003,-0.08473937223112449
minus_go,Six-tree soft-voting ensemble,1:1,9,primary_train_fixed60,,component_specific,6,0.842586483174663,0.813715182657577,0.7692307692307693,0.7203389830508474,0.8252427184466019,0.15731861591362004,-0.02997454991045334
minus_jaccard,Six-tree soft-voting ensemble,1:1,65,primary_train_fixed60,,component_specific,6,0.8379677632199076,0.8075504554229058,0.7610619469026548,0.6991869918699187,0.8349514563106796,0.15911163337771664,-0.03459326986520872
minus_size,Six-tree soft-voting ensemble,1:1,64,primary_train_fixed60,,component_specific,6,0.8454142709020642,0.8149791651743985,0.8108108108108109,0.7563025210084033,0.8737864077669902,0.15233054022171336,-0.02714676218305212
