split,primary_ratio,n_positive,n_negative,n_total,n_kegg_positive,n_aracyc_positive,n_random_5_30,n_shuffled,n_partial_50_80,n_cross_pathway,cross_split_source_leakage_count,records_sha256,selected_go_sha256,primary_split_sha256
train,1:1,409,409,818,124,285,103,102,102,102,0,2973d52e5298cd58efe7fea87221f317957680f5cd06ee5e6693ab4b7e8b599d,3a1d385c45db7e6828608173de2c05fa72184735f0c71d1c44791b62421d2d6e,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390
test,1:1,103,103,206,31,72,26,26,26,25,0,b5bdb467905b56f2d584d11dc3b4fdb839984d537ca59c0f395553ca0c588b37,3a1d385c45db7e6828608173de2c05fa72184735f0c71d1c44791b62421d2d6e,2c3c59b8cc5c7b23a557bc21e4a3aa2cc40925da6a6b4e78cc63c4b94624a390
