ratio,n_pos,n_neg,scale_pos_weight,cv_auroc_mean,cv_auroc_sd,test_auroc,test_auprc,f1,precision,recall,brier
1:1,538,538,1.0,0.8636560302866414,0.017631746437790183,0.8268175582990398,0.7879208843875111,0.7631578947368421,0.725,0.8055555555555556,0.1701391041278839
1:2,538,1076,2.0,0.8714147286821704,0.011159337590076842,0.8540380658436213,0.68241980213254,0.711864406779661,0.65625,0.7777777777777778,0.15596957504749298
1:3,538,1614,3.0,0.8775584399975962,0.01173404567784249,0.8587677183356196,0.6339475840276684,0.6507936507936508,0.5694444444444444,0.7592592592592593,0.14699724316596985
1:4,538,2152,4.0,0.8754552010095548,0.009628653444563736,0.8635330932784636,0.5722032904415503,0.5801526717557252,0.4935064935064935,0.7037037037037037,0.136877179145813
1:5,538,2690,5.0,0.876268253109789,0.008692233829983659,0.8743141289437586,0.5348249584933783,0.5606060606060606,0.47435897435897434,0.6851851851851852,0.1211833581328392
