model,config_id,config_index,parameters_json,parameters_sha256,status,error,n_folds,outer_test_used,selection_metric,mean_auroc,sd_auroc,mean_auprc,sd_auprc,mean_normalized_auprc,sd_normalized_auprc,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,mean_brier,sd_brier,mean_elapsed_s,sd_elapsed_s,selected
Random Forest,random_forest_11,11,"{""max_depth"":null,""max_features"":""sqrt"",""n_estimators"":500}",ad8f08bb0b6ee683fb748c48f947db7f6af2d726fc3dcc98a687a7efa2a2af6e,ok,,15,False,mean_auroc,0.8462956427187701,0.018311307063266266,0.8054120377792326,0.023537125851291654,0.6108240755584651,0.04707425170258331,0.7968719785784569,0.023631773065263602,0.7207958633963609,0.02585504741767592,0.8916390645387935,0.03179919852843729,0.1547661291378099,0.006573595568482151,0.44214014159903553,0.008787591174664332,True
Extra Trees,extra_trees_12,12,"{""max_depth"":null,""max_features"":0.5,""n_estimators"":500}",dfa44aa18cb167a3af684759c076b89089d510e0ee7f1852203048d83996885f,ok,,15,False,mean_auroc,0.8511518914775394,0.02109115122080072,0.8126869502890414,0.040411631054629325,0.6253739005780825,0.08082326210925865,0.7947188818833608,0.026236508956652835,0.7189736398935646,0.023039639500626544,0.8891598915989161,0.04173435216790562,0.15239849194017865,0.00872002150159243,0.5932977222022601,0.014823512578951974,True
Gradient Boosting,gradient_boosting_01,1,"{""learning_rate"":0.03,""max_depth"":3,""n_estimators"":200}",dedb806b4a5a709472bcb615667271295db069e0700b0b886725130a5d06acf8,ok,,15,False,mean_auroc,0.8408946692040887,0.02011988635666361,0.791892383507531,0.036434573336935575,0.5837847670150624,0.07286914667387116,0.7920866147209722,0.01812349998958521,0.7323463044149392,0.02169506110627918,0.8639064538793536,0.0373784774029503,0.15496483471398584,0.009753830273175713,0.2957853028085083,0.013878985647731927,True
XGBoost,xgboost_03,3,"{""learning_rate"":0.03,""max_depth"":5,""n_estimators"":300}",50edf41c308924618e3892ebd1802c3549f38a738d74e4d835472446751b1281,ok,,15,False,mean_auroc,0.8403396285013961,0.02084921598129424,0.7846841043510288,0.03482199834156074,0.5693682087020573,0.06964399668312146,0.7949047299784563,0.02084321232719973,0.7409029776602415,0.02135066048841288,0.8590083308240489,0.04319979076590216,0.15671697457631428,0.010860076642862166,0.09128514166998987,0.005161045291754068,True
LightGBM,lightgbm_03,3,"{""learning_rate"":0.03,""max_depth"":5,""n_estimators"":300,""num_leaves"":63}",aeb1ab421ffcb54cd6012ebc9ffad9af55aa2a71cec5700f7fd64d81f9115768,ok,,15,False,mean_auroc,0.8342137407957771,0.021374653933721767,0.77680508429964,0.04027285556213409,0.5536101685992799,0.0805457111242682,0.7875531809290479,0.025107644601434637,0.7300124067949452,0.030019220591507346,0.8566194921208471,0.041227180816118224,0.15985067092908675,0.011271315628647078,0.04088925546190391,0.0026589921367133297,True
CatBoost,catboost_05,5,"{""depth"":6,""iterations"":300,""learning_rate"":0.03}",af5fd43222040c4806fa671c23d34f36a6aee7928e88ed74b635705162284296,ok,,15,False,mean_auroc,0.8432972383244081,0.017979216634510548,0.7950392696703172,0.03842847458344897,0.5900785393406346,0.07685694916689793,0.7971018069510571,0.014102989906488762,0.7231317168248135,0.01757503453045905,0.8891699287363245,0.03374071060587205,0.1540718537638902,0.007251113470513306,0.7908972667297348,0.05475984391127216,True
